AAL	Ashendon and Aynho Line	0.00 - 18.29	Ashendon Junction	Now NAJ3
BGL1	Gloucester Yard Junction to Tuffley Junction	93.09 - 94.10	Derby	Formerly 113.03 - 112.02 ex Paddington on SWM1
BGL2	Tramway Junction to Bristol Temple Meads	92.68 - 129.68	Derby	120.03 - 122.65 now WTS. 94.60 - 99.74 also 106.67 - 112.02 ex Paddington in SWM1
BGN	Bridgeton Central Junction to Bridgeton Central CSD	0.08 - 1.11	High Street	nan
BGP	Bagthorpe Curve	130.69 - 131.50	Kings Cross via Basford West Junction (reverse, reverse count)	nan
BGS	Bow Road Goods Branch	2.53 - 2.72	Fenchurch Street	nan
BGW	Bolton Great Moor Street to Worsley Junction line	?? - ??	nan	Branch off BKJ
BGY	Bathgate Yard	24.78 - 25.11	High Street via Airdrie	nan
BHA	Brindle Heath Junction to Agecroft Junction	2.78 - 3.36	Manchester Victoria	nan
BHB	Bristol Harbour Branch	118.33 - 119.64	Paddington via Box	nan
BHC	Bignall Branch	0.00 - 0.29	Diglake Junction	nan
BHD	Boghead Branch	0.00 - 0.36	Boghead Box	Near Bathgate (North British Railway)
BHI	Basford Hall Independent Lines	156.16 - 158.76	Euston	nan
BHI1	Basford Hall Independent Lines	156.16 - 158.76	Euston	nan
BHJ	Buxton to High Peak Junction Line No 2	0.00 - 0.55	Harpur Hill Junction	nan
BHL	Berks and Hants Line	37.62 - 94.03	Paddington	nan
BHM	Barrow Hill Motive Power Depot	149.28 - 150.09	St Pancras via Leicester and Toton	nan
BHN	Blochairn Branch	0.00 - 0.38	Blochairn Junction	nan
BHP	Boultham Junction to Pyewipe Junction Curve	0.00 - 0.65	Boultham Junction	= part LIA
BHR	Benhar Branch (Westcraigs for Harthill & Blackridge)	0.00 - 1.76	Fauldhouse & Crofthead	North British Railway
BHS	Brighouse Branch	0.00 - 3.26	Wyke Junction	nan
BHW	Buckland Hollow Branch	0.00 - 1.03	Buckland Hollow Junction	nan
BIB	Bingley Junction to Bradford Junction Curve	0.00 - 0.17	Shipley South Junction	nan
BIC	Bishop Auckland to Barnard Castle Branch	0.00 - 14.63	Bishop Auckland East Junction	nan
BID	Bideford Goods Branch	nan	nan	Now BFD
BID	Burntisland Docks Branch	0.00 - 0.33 + docks	Burntisland Junction	nan
BIF	Bishop Auckland to Ferryhill Line	0.00 - 8.22	nan	nan
BIG	Bigrigg Branch	2.47 - 3.51	Mire House Junction	nan
BIH	Bird-In-Hand Branch	0.00 - 0.22/ 9.20 - 9.42	Bird in Hand Junction/Taff Vale Extension Junction	nan
BIK	Bickershaw Colliery Branch	0.00 - 3.32	Springs Branch No 1 Junction	Remiled, formerly datum at Pennington South Junction
BIK3	Pennington South Junction to Plank Lane	0.00 - 3.45	Pennington South Junction	0.00 - 1.50 closed, Pennington South Junction to Bickershaw West Junction
BIM	Bilsthorpe Colliery Branch (Midland) (Southwell & Mansfield Branch)	2.15 - 2.77	Farnsfield Junction	nan
BIN	Bingham Branch	0.00 - 7.21	Stathern Junction	nan
BIP	Bilson Loop	4.68 - 5.27	Forest of Dean Junction	Formerly BNL
BIR	Birley Colliery Branch	0.13 - 0.26	Woodhouse East Junction	Great Central Railway branch, originally to 2.55
BIY	Bishopsgate Yards	0.00 - 0.52	Bethnal Green West Junction	nan
BIZ	Bicslade Railway	13.62 - 14.65 + quarries	Berkeley Road Junction	nan
BJH	Broadstone Junction to Hamworthy Junction	115.43 - 118.77	Waterloo	nan
BJL	Bamfurlong Junction Line	4.28 - 5.38	Newton Le Willows Junction	nan
BJN	Bromley Junction to Norwood Junction	see separate portions	nan	nan
BJN1	Bromley Junction to Norwood Junction (Up Crystal Palace)	9.36 - 9.70	Victoria	nan
BJN2	Bromley Junction to Norwood Junction (Down Crystal Palace)	9.48 - 9.75	Victoria	nan
BJP	Broadstone Junction to Poole Holes Bay Junction Line	115.42 - 118.46	Waterloo	nan
BJR	Bassaleg Junction and Rhymney Line	see separate portions	nan	nan
BJR1	Bassaleg Junction to Machen Junction	0.00 - 5.03	Bassaleg Junction	Exact extent unknown; now part of BJR
BJR2	Machen Junction to Rhymney	5.03 - 20.78	Bassaleg Junction	Exact extent unknown; now part of BJR
BJR	Bassaleg Junction and Rhymney Line	0.00 - 20.78	Bassaleg Junction	nan
BJS	Blackwood Junction to Stonehouse West Junction Line	0.00 - 5.26	Stonehouse West Junction	Possibly a different line running 0.00 - 3.44
BJT	Broadstone Junction to Templecombe Lower Line	36.13 - 63.06	Bath Junction	nan
BJW	Bescot Junction to Wichnor Junction (Lichfield) Line	see separate portions	nan	nan
BJW1	Bescot Junction to Walsall Pleck Junction	0.00 - 0.65	Bescot Junction	nan
BJW2	Walsall Pleck Junction to Ryecroft Junction	5.42 - 6.79	Dudley Junction	nan
BJW3	Ryecroft Junction to Wichnor Junction	6.79 - 23.33	Dudley Junction	nan
BJZ	Baglan Junction to Neath Box Loop	16.45 - 18.30	R&SB Junction	17.34 - 18.30 ?? formerly 0.76 - 0.00 in SMI
BKB	Benwick Branch	0.00 - 4.41	Three Horse Shoes Junction	nan
BKC	Banbury and Cheltenham Line (Kingham to Chipping Norton)	84.48 - 89.21	Paddington via Didcot and Charlbury	nan
BKE	Basingstoke Branch	36.17 - 51.39	Paddington via Reading	nan
BKH	Birkenhead Branch	14.14 - 15.14 ??	Chester	= Birkenhead Woodside Branch (part Chester and Birkenhead Line) ??
BKJ	Bolton and Kenyon Line	0.00 - 10.30	Kenyon Junction	nan
BKL	Blackwell Colliery Branch	0.00 - 0.63	New Hucknall Sidings Box	Great Central Railway route
BKN	Banbury and Cheltenham Line (Kingham to Chipping Norton)	nan	nan	Now BKC
BKN	Blackstone Branch	0.00 - 4.60	Polkemmet Junction	nan
BKR	Barking Riverside Extension	7.70 - 10.26	Fenchurch Street	nan
BKS	Brancliffe East Junction and Kirk Sandall Junction Line	0.00 - 20.51	Brancliffe East Junction	nan
BKW	Brockley Whins Branch	0.00 - 0.65	Brockley Whins Junction	nan
BLA	Blaenrhondda Branch	24.27 - 25.55	Cardiff Bute Road	nan
BLB	Blackbrook Branch	0.00 - 2.63	Sutton Oak Junction	nan
BLC	Blidworth Colliery Branch	1.08 - 4.11	Rufford Colliery Junction	nan
BLE	Barnstaple Branch	165.19 - 207.70	Paddington via Box	Includes BVR
BLF	Bensham Junction to Low Fell Sidings Junction Curve	0.00 - 0.25	Low Fell Sidings Junction	nan
BLH	Blidworth Colliery Branch	see separate portions	nan	nan
BLH1	Midland Region portion	0.00 - 0.57	Blidworth Junction	nan
BLH2	Eastern Region portion	3.40 - 4.11	Rufford Junction	nan
BLI	Brighton to Littlehampton Line	see separate portions	nan	nan
BLI1	Brighton to Littlehampton Junction	0.00 - 19.25	Brighton	nan
BLI2	Littlehampton Junction to Littlehampton	60.57 - 62.03	London Bridge via Redhill and Ford Junction (reverse)	nan
BLJ	Broughton Lane Junction to Shepcote Lane East Junction Curve	161.20 - 161.67	St Pancras via Leicester, Toton and Treeton	nan
BLK	Blackbraes Branch	0.00 - 4.39	Almond Junction	nan
BLL	Bristol Loop	117.42 - 117.73	Paddington via Box	nan
BLN	Barkston to Lincoln Line	111.72 - 129.68	Kings Cross	Honington Junction to Sincil Bank, Lincoln
BLP	Barnstaple Loop	nan	nan	Now BAZ
BLP	Brockenhurst and Lymington Pier Line	93.25 - 98.16	Waterloo	nan
BLR	Brackenhill Light Railway	0.00 - 2.72	Brackenhill Junction	nan
BLS	Brightlingsea Branch	56.27 - 61.07	Liverpool Street	nan
BLT	Bletchley Depot	see separate portions	nan	nan
BLT1	Bletchley Sidings Carriage Arrival and Wagon Maintenance	46.67 - 47.50	Euston	nan
BLT2	Bletchley Sidings CCE, TMD and Cambridge Sidings	0.20 - 0.55	Bletchley Junction	nan
BLT3	Bletchley Sidings Field, Top and S&T Sidings	46.32 ?? - 46.73	Euston	nan
BLW	Birmingham Loop/Wolverhampton Loop	0.00 - 0.30	Rainbow Hill Junction	nan
BLY	Ballochney Branch	0.00 - 0.49	Whiterigg	North British Railway route
BLZ	Brynmenyn Loop	0.00 - 0.20	Brynmenyn Junction	nan
BMB	Blairadam Branch	0.00 - 2.04	Kelty North Junction	nan
BMC	Barnsley Main Colliery Branch	0.00 - 0.25	Barnsley Main Colliery Junction	nan
BMD	Bristol Bath Road Traction Depot	118.33 - 118.52	Paddington via Box	nan
BME	Buckland Junction (Dover) to Minster East Junction	see separate portions	nan	nan
BME1	Minster East Junction to Minster South Junction	0.00 - 0.32	Minster East Junction	nan
BME2	Minster South Junction to Buckland Junction	82.21 - 99.05	Charing Cross via Chelsfield and Canterbury West	nan
BMJ	Blackfriars Junction to Metropolitan Junction	0.62 - 1.14	Holborn Viaduct	nan
BMK	Blairmuckhill Branch	0.00 - 0.50	Barblues Colliery No 10 Siding	Westcraigs to Shotts Line
BML	Bournemouth Main Line (Waterloo to Weymouth)	see separate portions	nan	nan
BML1	Waterloo to Northam Short Mile	0.00 - 77.68	Waterloo	nan
BML2	Northam Short Mile to Dorchester Junction	78.00 - 136.15	Waterloo	nan
BML3	Dorchester Junction to Weymouth	162.14 - 168.63	Paddington via Melksham	Formerly part of WEY
BMM	Brinnington Branch	0.00 - 1.22	Reddish Junction	nan
BMN	Bonds Main Branch	144.07 - 145.51	St Pancras	nan
BMS	Broomside Line	0.00 - 0.38	Sherburn Colliery Junction	nan
BMW	Market Weighton and Beverley	22.56 - 33.24	York	nan
BMZ	Blackmill Branch	0.00 - 6.11	Tondu Middle Junction	0.00 - 2.56 now OGM. Line re-miled: Datum = Copper Works Junction after 1950
BNB	Beckton Branch	7.05 - 8.73	Liverpool Street	nan
BNC	Brecon Curve	0.00 - 0.19	Brecon Curve Junction	nan
BND	Brecon and Dowlais Line	0.00 - 20.17	Brecon	nan
BNE	Benton North Junction to Earsdon Link Line	0.00 - 2.53	Benton Junction	nan
BNF	Burscough North Fork	0.00 - 0.34	Burscough Bridge Junction	nan
BNG	Bromley North and Grove Park Line	8.65 - 10.47	Charing Cross	nan
BNJ	Bentley Colliery North Junction to Bentley Colliery Junction	0.00 - 0.18	Bentley Colliery Junction North	nan
BNK	Banbury and Cheltenham Line (Kings Sutton to Chipping Norton)	82.41 - 97.75	Paddington via Didcot and Kings Sutton Junction (reverse)	Formerly KSC
BNL	Bilson Loop	nan	nan	Now BIP
BNL	Brownhill Loop	?? - ??	Bridge Street Junction (Glasgow)	Near Kilbirnie, down flyover at Brownhill Junction (Glasgow & South Western Railway) joining DNJ to AYR
BNN	Bedford and Northampton Line	51.50 - 71.51	St Pancras	nan
BNO	Balerno Branch	0.00 - 6.02	Ravelrig Junction	nan
BNP	Bonnington Loop	2.25 - 2.47	Edinburgh Waverley	nan
BNR	Bonnington Road Branch	0.00 - 0.20	Graham Street Box	Bonnington Goods branch (North British Railway)
BNW	Boldon New Curve	0.00 - 0.20	Boldon East Junction	nan
BNY	Boldon and Tyne Dock Branch	see separate portions	nan	nan
BNY1	Dean Road Sidings to Green Lane Junction	0.56 - 2.78	Boldon West Junction	nan
BNY2	Boldon North Junction for Boldon Colliery	2.54 - 3.21	Boldon East Junction	nan
BNZ	Blaenavon Branch	0.00 - 1.04	Blaenavon Junction	nan
BOB	Broad Oak Branch	0.00 - 0.42	Junction with SPC9	nan
BOC	Bolsover Colliery Branch (Barrow Hill)	see separate portions	nan	nan
BOC1	Colliery Junction to Bolsover Castle	5.21 - 7.61	Pleasley Colliery West Junction	nan
BOC2	Pleasley Colliery West Junction to Bolsover Castle	2.41 - 5.21	Pleasley Colliery West Junction	nan
BOD	Bodmin Branch	273.75 - 277.44	Paddington via Box and Plymouth Millbay (reverse)	nan
BOE	Boscarne Extension	277.34 - 280.10	Paddington via Box, Plymouth Millbay (reverse) and Bodmin Junction (reverse)	nan
BOG	Bog Hall Branch	51.01 - 51.71	Darlington	nan
BOH	Bowesfield Junction to Hartburn Junction Curve	0.00 - 0.44	Hartburn Junction	nan
BOK	Broad Street and Old Kew Line via Hampstead (North London Line)	see separate portions	nan	nan
BOK1	Broad Street to Camden Road Junction	0.00 - 5.10	Broad Street	nan
BOK2	Camden Road Junction to Kensal Green Junction	0.00 - 5.13	Camden Road Junction	nan
BOK3	Kensal Green Junction to Willesden High Level Junction	5.13 - 5.48	Camden Road Junction	nan
BOK4	Willesden High Level Junction to Acton Wells Junction	0.00 - 0.34; and 0.43 - 0.66	Willesden High Level Junction; West London Junction	nan
BOK5	Acton Wells Junction to Old Kew Junction mileage change	0.66 - 3.61	Willesden High Level Junction	nan
BOK6	Old Kew Junction mileage change to Old Kew Junction	9.68 - 10.01	Waterloo	nan
BOL	Brundall Oulton Broad and Lowestoft Line	5.73 - 23.41	Norwich	Now part of NOL
BOL	Boldon Branch	?? - ??	nan	nan
BON	Bottesford to Newark Line	0.00 - 9.15	Bottesford West Junction	nan
BOO	Bowers Row Opencast Branch	0.00 - 6.17	Garforth East Junction	nan
BOP	Bryn Junction to Pemberton Branch	0.00 - 2.30	Park Lane Junction	nan
BOR	Boroughbridge Branch	0.00 - 12.64	Pilmoor Junction	nan
BOS	Bo'ness Branch	26.02 - 31.00	Glasgow High Street via Slamannan	nan
BOT	Bothwell Branch	0.00 - 1.12	Bothwell Junction	Caledonian Railway route
BOW	Bodmin and Wadebridge Line	0.00 - 6.68	Wadebridge	nan
BOZ	Blaenavon Loop	0.00 - 0.19	Blaenavon Loop Junction	nan
BPA	Bishop Auckland Station	0.00 - 0.21	Bishop Auckland East Junction	nan
BPB	Bargoed Pits Branch	16.55 - 17.08	Cardiff East Dock	nan
BPC	Bestwood Park to Calverton Colliery Branch	129.53 - 137.51	St Pancras via Corby	nan
BPH	Blisworth to Peterborough Line	0.00 - 27.58	Blisworth	Only covers line to Thrapston, continuation is TOM
BPJ	Brighton Lovers Walk Depot	49.49 - 50.39	London Bridge via Redhill	nan
BPL	Bramley to Pudsey and Low Moor Line	0.00 - 6.23	Bramley West Junction	nan
BPO	Blyth Power Station	1.32 - 2.27	West Sleekburn Junction	nan
BPP	Philips Park No 1 Junction to Brewery Siding Junction (Miles Platting Connecting Line)	0.00 - 0.23	Miles Platting Junction	nan
BPS	Bristol St Philips Branch	129.22 - 129.64	Derby	Formerly BSP
BPT	Bridport Branch	nan	nan	Now BRP
BPT	Busby Print Works Branch	3.54 - 4.13	Busby Junction	Closed 1898, but remained until 1952
BPW	Botley to Bishops Waltham Line	0.00 - 3.75	Botley	nan
BPZ	Burry Port Engine Shed Line	0.00 - 0.18	Burry Port	nan
BQB	Gleneagles Junction to Balquhidder Branch	&ap;0.06 - 29.59	Gleneagles	nan
BRA	Braintree Branch	17.71 - 24.15	Bishops Stortford	nan
BRB	Brentford Branch	0.00 - 3.77	Southall	nan
BRC	Brodsworth Colliery and Castle Hills North Junction Branch	0.00 - 1.44	Castle Hills North Junction	nan
BRD	Burma Road Chord	101.63 - 102.46	Carlisle	nan
BRE	Bredisholm Branch	0.00 - 1.08	Maryville Box	On North British Railway Hamilton line
BRG	Bradford City Road Goods Branch	192.60 - 194.07	Kings Cross via Birkenshaw Line	nan
BRH	Barbush Branch	?? - ??	nan	nan
BRI	Brocklesby and Immingham Branch	see separate portions	nan	nan
BRI1	Brocklesby Junction to Ulceby North Junction	99.39 - 100.44	Manchester London Road via Woodhead	nan
BRI2	Ulceby North Junction to Immingham Docks	100.44 - 106.43	Manchester London Road via Woodhead	nan
BRK	Barnoldswick Branch	228.29 - 230.20	St Pancras	nan
BRL	Bristol Relief Line	117.27 - 118.33/ 0.00 - 1.09	Paddington via Box/North Somerset Junction	0.00 - 0.16 ex FNS2, now counted as BRL even though not actually same route
BRM	Broom South Curve	45.29 - 45.64	Blisworth	Formerly BSC
BRN	Blantyre Branch	0.00 - 1.19	Blantyre Junction	On North British Railway Hamilton line
BRO	Brymbo Branch	1.35 - 4.40	Wrexham Central	nan
BRP	Bridport Branch	0.00 - 11.23	Maiden Newton Junction	Formerly BPT
BRP	Brewery Junction to Miles Platting Junction Curve	nan	nan	Listed in error, see BPP
BRS	Browns Branch	0.00 - 0.12	Park Street Branch Junction	nan
BRT	Brent Branch	0.00 - 0.44	Brent North Junction	nan
BRW	Brancliffe West Curve	0.00 - 0.40	Brancliffe West Junction	nan
BRX	Broxburn Branch	0.00 - 1.53	Broxburn Junction	nan
BRY	Barry Line	0.00 - 9.35	Penarth Junction	nan
BRZ	Glannant Siding	4.10 - &ap;4.40	Bridgend	nan
BSA	Bourne to Sleaford Line	0.00 - 17.44	Bourne East Junction	nan
BSB	Bishops Stortford to Braintree Line	0.00 - 18.06	Bishops Stortford	nan
BSC	Broom South Curve	nan	nan	Now BRM
BSC	British Steel Corby Branch	0.00 - 3.10	nan	Also listed as BCS
BSD	Bescot Sidings	see separate portions	nan	nan
BSD1	Down Local Sorting Sidings	7.77 - 8.27	Curzon Street	nan
BSD2	Down Reception Sidings	7.64 - 8.17	Curzon Street	nan
BSD3	Down Storage Sidings	7.69 - 8.32	Curzon Street	nan
BSD4	Down Sorting Sidings	8.17 - 8.64	Curzon Street	nan
BSD5	Diesel Depot	8.32 - 8.64	Curzon Street	nan
BSD6	Up Sorting Sidings	7.65 - 8.24	Curzon Street	nan
BSD7	Engine Reception Sidings	8.24 - 8.54	Curzon Street	nan
BSD8	Down Local Sorting Sidings	7.77 - 8.27	Curzon Street	Not identified at present
BSE	Blackwell South Junction to Blackwell East Junction	136.71 - 137.24	St Pancras	nan
BSE	Barassie Reversing Spur	33.06 - 34.08	Bridge Street Junction	Now ZZA4
BSF	Battersea Pier Junction to Factory Junction via Stewarts Lane	see separate portions	nan	nan
BSF1	Battersea Pier Junction to Havelock Terrace	0.72 - 1.26	Victoria	Now part of BSF
BSF2	Havelock Terrace to Factory Junction	1.26 - 1.75	Victoria	Now part of BSF
BSF	Battersea Pier Junction to Factory Junction via Stewarts Lane	0.72 - 1.75	Victoria	nan
BSG	Bicester South Junction to Gavray Junction	0.00 - 0.52	Bicester South Junction	Includes WEJ
BSH	Bellshill Branch	9.53 - 14.27	Glasgow High Street	Whifflet Junction to Bothwell Junction, North British Railway
BSJ	Bootle Junction Crossover	4.79 - 5.04	Bootle Branch Junction	nan
BSK	Burscough South Fork	0.00 - 0.32	Burscough Bridge Junction	nan
BSL	Bradford Springmill Street Branch	39.66 - 40.07	Manchester Victoria	From Coal Shoots box
BSN	Brunthill Stainton Sidings	0.00 - 0.56	Stainton Junction	nan
BSP	Bristol St Philips Branch	nan	nan	Now BPS
BSP	Battersea Pier Junction to Pouparts Junction via Longhedge Junction	see separate portions	nan	nan
BSP1	Battersea Pier Junction to Longhedge 'A' Junction via Stewarts Lane	0.73 - 1.58	Victoria	nan
BSP2	Longhedge 'B' Junction to Pouparts Junction	1.63 - 2.20	Victoria	nan
BSR	Barrhead Spur	6.35 - 6.55	Gorbals Junction	nan
BSS	Brusselton Branch (Shildon End)	0.00 - &ap;3.29	Shildon South Junction	nan
BSS1	Brusselton Branch (West Auckland End)	0.00 - &ap;2.58	West Auckland	nan
BST	Bath Street Branch	?? - ??	nan	nan
BSW	Bristol and South Wales Union Line	0.31 - 16.44	Bristol Temple Meads	Severn Tunnel Railway 9.05 - 16.44
BSY	Busbie Branch	?? - ??	Plains signal box	Branch to Busbiehead No 2 Colliery from Plains signal box on Crosshouse to Irvine line
BSZ	Bishops Wood Tramway	0.00 - 1.10	Junction with SLB	nan
BTB	Barlow Tip Branch	6.33 - 8.51	Oakhill Junction	nan
BTC	Blackheath to Charlton Line	7.13 - 8.62	Charing Cross	nan
BTD	Blyth and Tyne Depot	0.00 - 0.37	Tynemouth South Junction	nan
BTE	Barking Tilbury Line Junction East to Barking East Junction Loop	7.60 - 8.10	Fenchurch Street	nan
BTG	Bolton Connecting Line	0.00 - 0.13	Johnston Street Junction	nan
BTH	South Bermondsey to Horsham Line via Sutton and Epsom	see separate portions	nan	nan
BTH1	South Bermondsey Junction to Sutton (East) Junction	1.49 - 13.45	London Bridge via Streatham	nan
BTH2	Sutton (East) Junction to Epsom Junction	14.66 - 19.03	London Bridge via Norwood Junction	nan
BTH3	Epsom Junction to Horsham Junction	14.27 - 35.35	Waterloo via Worcester Park	nan
BTJ	Brightside and Treeton Junction (via Tinsley) Line	158.65 - 162.37/ 0.00 - 3.46	St Pancras via Leicester, Toton and Treeton/Treeton Junction	nan
BTK	Bentinck Colliery Lines	see separate portions	nan	nan
BTK1	Loaded Branch	0.00 - 0.60	Kirkby Bentinck station	Now PBC??
BTK2	Empty Branch	0.00 - 0.29	Kirkby Bentinck station	Now PBC??
BTK3	Loaded LMS	136.11 - 137.06	St Pancras	Now PBC??
BTK4	Empty LMS	0.00 - 0.35	Empty Wagon Branch Junction	Now PBC??
BTL	Builth Loop	nan	nan	Now BTP
BTL	Brighton to Lewes Line	0.00 - 8.03	Brighton	nan
BTN	Blyth and Tyne Line	0.00 - 7.08	Manors Junction	nan
BTO	Baton Branch	0.00 - 0.20	Baton Siding	Serving Baton Colliery off North British Railway Fortisset branch near Shotts
BTP	Builth Loop	0.00 - 0.22	Builth Loop Junction	Formerly BTL
BTR	Bridgewater Trustees Branch (Walkden to Howe Bridge)	0.00 - ??	junction with LHN1	Underbridges are known at: no 2 Kenyon Hall Lane, no 3 Mosley Common
BTS	Brent Sidings	see separate portions	nan	nan
BTS1	Group 1	1.14 - 1.48	Kensal Green Junction	nan
BTS2	Group 2 and connection to running lines	1.04 - 1.48	Kensal Green Junction	nan
BTS3	Group 3	1.18 - 1.44	Kensal Green Junction	nan
BTS4	Distillers Private Sidings	0.61 - 0.74	Kensal Green Junction	nan
BTW	Brockenhurst to Wimbourne Line	93.55 - 115.42	Waterloo	nan
BUB	Burton Branch	0.00 - 3.47	Marston Junction	nan
BUC	Buckley Branch	0.00 - 5.24	Buckley Junction	nan
BUE	Burley East Curve	207.12 - 207.77	St Pancras	nan
BUF	Burnden Fork Line	10.06 - 10.29	Manchester Victoria	nan
BUI	Buildwas to Marsh Farm Line (Much Wenlock Branch)	160.05 - 177.42	Paddington via Didcot and Charlbury	nan
BUL	Beddau Loop	9.00 - 9.32	Cardiff East Dock	nan
BUP	Burry Port Canal Branch	0.00 - 0.17	Burry Port Dock Junction	nan
BUR	Burnbrae Branch (Milngavie)	0.00 - 0.36	Milngavie station	nan
BUS	Bulwell South Curve	0.00 - 0.42	Basford West Junction	nan
BUT	Bute Dock Branch	0.00 - 0.73	Long Dyke Junction	nan
BUW	Bude Wharf Branch	228.03 - 228.50	Waterloo	nan
BUX	Buxton and High Peak Junction Line No 1	0.00 - 4.78	Buxton No 1 Junction	nan
BUY	Bushbury Branch	142.25 - 143.18	Paddington via Didcot	nan
BUZ	Bullo Dock Branch	0.00 - 0.47	Bullo Pill Dock Junction	Originally 0.00 - 0.71; junction moved and line remiled
BVB	Blackburn Valley Branch	0.00 - 0.43	Blackburn Valley Junction	nan
BVJ	Banbury and Verney Junction Branch	0.08 - 21.31	Verney Junction Station	nan
BVR	Barnstaple Branch (from Norton Fitzwarren)	nan	nan	Now BAZ and part of BLE
BVS	Beeding Sidings	see separate portions	nan	nan
BVS1	Beeding Sidings to Shoreham Junction	55.39 - 57.61	London Bridge via Redhill	nan
